iter	Passed	Remaining
0	138	138008
1	139	69367
2	139	46448
3	140	34952
4	141	28067
5	141	23486
6	142	20207
7	143	17756
8	143	15842
9	144	14312
10	145	13062
11	146	12033
12	146	11152
13	147	10395
14	148	9741
15	149	9168
16	149	8659
17	150	8206
18	150	7795
19	151	7444
20	152	7113
21	153	6810
22	153	6537
23	154	6286
24	155	6053
25	155	5838
26	156	5637
27	157	5452
28	157	5285
29	158	5125
30	159	4976
31	159	4835
32	160	4702
33	161	4577
34	161	4460
35	162	4347
36	163	4243
37	163	4143
38	164	4048
39	164	3958
40	165	3874
41	166	3794
42	167	3716
43	167	3642
44	168	3572
45	169	3505
46	169	3446
47	170	3385
48	171	3326
49	172	3268
50	172	3213
51	173	3161
52	174	3110
53	174	3061
54	175	3013
55	175	2965
56	176	2919
57	177	2876
58	177	2834
59	178	2792
60	178	2753
61	179	2716
62	180	2679
63	180	2644
64	181	2612
65	182	2580
66	183	2548
67	183	2513
68	184	2483
69	184	2454
70	185	2425
71	186	2398
72	186	2371
73	187	2345
74	188	2319
75	188	2293
76	189	2270
77	189	2245
78	190	2222
79	191	2199
80	191	2177
81	192	2155
82	193	2136
83	194	2116
84	194	2093
85	195	2074
86	195	2052
87	196	2033
88	196	2014
89	197	1997
90	198	1979
91	198	1962
92	199	1944
93	200	1927
94	200	1910
95	201	1895
96	201	1880
97	202	1864
98	203	1849
99	203	1835
100	204	1820
101	204	1803
102	205	1789
103	206	1775
104	206	1762
105	207	1749
106	208	1737
107	208	1724
108	209	1711
109	209	1699
110	210	1686
111	211	1674
112	211	1663
113	212	1651
114	213	1639
115	213	1627
116	214	1616
117	214	1605
118	215	1593
119	215	1583
120	216	1572
121	217	1563
122	217	1551
123	218	1541
124	218	1531
125	219	1522
126	220	1513
127	220	1502
128	221	1492
129	221	1483
130	222	1474
131	222	1465
132	223	1457
133	224	1448
134	224	1440
135	225	1432
136	226	1424
137	226	1415
138	227	1407
139	227	1399
140	228	1393
141	229	1385
142	229	1377
143	230	1370
144	231	1362
145	231	1355
146	232	1348
147	232	1340
148	233	1334
149	234	1327
150	234	1320
151	235	1313
152	236	1307
153	236	1301
154	237	1295
155	238	1288
156	238	1281
157	239	1275
158	239	1269
159	240	1263
160	241	1257
161	241	1251
162	242	1245
163	243	1239
164	243	1233
165	244	1228
166	245	1222
167	245	1216
168	246	1211
169	246	1205
170	247	1199
171	248	1194
172	248	1188
173	249	1183
174	249	1178
175	251	1175
176	251	1170
177	252	1166
178	253	1161
179	253	1156
180	254	1150
181	254	1145
182	255	1140
183	256	1135
184	256	1130
185	257	1126
186	257	1121
187	258	1116
188	259	1111
189	259	1107
190	260	1102
191	260	1098
192	261	1093
193	262	1088
194	262	1084
195	263	1080
196	264	1077
197	265	1074
198	265	1070
199	266	1065
200	267	1061
201	267	1057
202	268	1053
203	268	1048
204	269	1044
205	270	1040
206	270	1036
207	271	1032
208	271	1029
209	272	1025
210	273	1021
211	273	1017
212	274	1013
213	274	1009
214	275	1005
215	276	1002
216	276	999
217	277	995
218	278	991
219	278	988
220	279	986
221	280	983
222	281	979
223	281	976
224	282	972
225	283	969
226	283	965
227	284	962
228	284	958
229	285	955
230	286	952
231	286	949
232	287	945
233	288	943
234	288	940
235	289	937
236	290	934
237	290	930
238	291	927
239	291	924
240	292	921
241	293	918
242	294	916
243	294	913
244	295	909
245	295	907
246	296	904
247	297	901
248	297	898
249	298	895
250	299	892
251	299	889
252	300	886
253	300	883
254	301	880
255	302	877
256	302	875
257	303	872
258	303	869
259	304	866
260	305	863
261	305	860
262	306	857
263	306	855
264	307	852
265	308	850
266	308	847
267	309	844
268	309	841
269	310	839
270	310	836
271	311	834
272	312	831
273	312	829
274	313	826
275	314	823
276	314	821
277	315	819
278	315	816
279	316	814
280	317	811
281	317	809
282	318	806
283	319	804
284	319	801
285	320	799
286	320	797
287	321	794
288	322	792
289	322	790
290	323	788
291	324	785
292	324	783
293	325	781
294	326	779
295	326	776
296	327	774
297	327	772
298	328	770
299	328	767
300	329	765
301	330	763
302	330	760
303	331	758
304	331	756
305	332	753
306	333	751
307	333	749
308	334	747
309	335	746
310	335	744
311	336	742
312	337	740
313	337	738
314	338	736
315	339	733
316	339	731
317	340	729
318	340	727
319	341	726
320	342	724
321	343	722
322	343	720
323	344	718
324	345	716
325	345	714
326	346	712
327	346	710
328	347	709
329	348	707
330	349	706
331	350	704
332	350	702
333	351	700
334	352	698
335	352	697
336	353	695
337	354	693
338	354	691
339	355	689
340	356	688
341	356	686
342	357	684
343	358	682
344	358	681
345	359	679
346	360	677
347	360	675
348	361	674
349	362	672
350	363	671
351	364	670
352	364	668
353	365	666
354	365	664
355	366	663
356	367	661
357	368	659
358	368	658
359	369	656
360	369	654
361	370	653
362	371	652
363	372	650
364	373	649
365	373	647
366	374	645
367	375	644
368	376	643
369	376	641
370	377	639
371	378	638
372	378	636
373	379	635
374	380	633
375	380	632
376	381	630
377	382	628
378	382	627
379	383	625
380	384	624
381	384	622
382	385	620
383	385	619
384	386	617
385	387	615
386	387	614
387	388	612
388	389	611
389	390	610
390	390	608
391	391	606
392	391	605
393	392	603
394	392	601
395	393	600
396	394	598
397	395	597
398	395	596
399	396	594
400	397	593
401	397	591
402	398	590
403	399	588
404	399	587
405	400	585
406	400	584
407	401	582
408	402	581
409	402	579
410	403	578
411	404	576
412	404	575
413	405	573
414	406	572
415	406	571
416	407	569
417	407	568
418	408	566
419	409	565
420	409	563
421	410	562
422	410	560
423	411	559
424	412	557
425	412	556
426	413	554
427	414	553
428	414	551
429	415	550
430	415	548
431	416	547
432	416	545
433	417	544
434	418	543
435	418	541
436	419	540
437	420	538
438	420	537
439	421	536
440	421	534
441	422	533
442	422	531
443	423	530
444	424	529
445	424	527
446	425	526
447	426	525
448	426	523
449	427	522
450	427	520
451	428	519
452	429	518
453	429	516
454	430	515
455	431	514
456	431	513
457	432	511
458	433	510
459	433	509
460	434	507
461	434	506
462	435	505
463	436	503
464	436	502
465	437	501
466	438	499
467	438	498
468	439	497
469	439	496
470	440	494
471	441	493
472	441	492
473	442	490
474	443	489
475	443	488
476	444	487
477	444	485
478	445	484
479	446	483
480	447	482
481	447	481
482	448	479
483	448	478
484	449	477
485	450	476
486	450	474
487	451	473
488	452	472
489	452	471
490	453	469
491	453	468
492	454	467
493	455	466
494	455	464
495	456	463
496	456	462
497	457	461
498	457	459
499	458	458
500	459	457
501	459	456
502	460	454
503	461	453
504	461	452
505	462	451
506	462	449
507	463	448
508	463	447
509	464	446
510	465	445
511	466	444
512	466	443
513	467	441
514	468	440
515	468	439
516	469	438
517	469	437
518	470	435
519	471	434
520	471	433
521	472	432
522	472	431
523	473	430
524	473	428
525	474	427
526	475	426
527	475	425
528	476	424
529	476	422
530	477	421
531	478	420
532	479	419
533	479	418
534	480	417
535	480	416
536	481	415
537	482	413
538	482	412
539	483	411
540	483	410
541	484	409
542	485	408
543	485	407
544	486	405
545	486	404
546	487	403
547	488	402
548	488	401
549	489	400
550	490	399
551	491	398
552	491	397
553	492	396
554	492	395
555	493	394
556	494	393
557	494	391
558	495	390
559	495	389
560	496	388
561	497	387
562	497	386
563	498	385
564	498	384
565	499	382
566	500	381
567	500	380
568	501	379
569	502	378
570	503	377
571	503	376
572	504	375
573	504	374
574	505	373
575	506	372
576	506	371
577	507	370
578	507	369
579	508	368
580	509	367
581	509	366
582	510	365
583	511	364
584	511	362
585	512	361
586	513	361
587	513	359
588	514	358
589	514	357
590	516	357
591	516	356
592	517	355
593	518	354
594	518	352
595	519	351
596	519	350
597	520	349
598	521	348
599	521	347
600	522	346
601	522	345
602	523	344
603	524	343
604	524	342
605	525	341
606	526	340
607	526	339
608	527	338
609	527	337
610	528	336
611	528	335
612	529	334
613	530	333
614	530	332
615	531	331
616	532	330
617	532	329
618	533	328
619	533	327
620	534	326
621	535	325
622	535	324
623	536	323
624	537	322
625	537	321
626	538	320
627	538	319
628	539	318
629	539	317
630	540	316
631	541	315
632	541	314
633	542	313
634	543	312
635	543	311
636	544	310
637	544	309
638	545	308
639	546	307
640	546	306
641	547	305
642	547	304
643	548	303
644	549	302
645	549	301
646	550	300
647	551	299
648	551	298
649	552	297
650	552	296
651	553	295
652	554	294
653	554	293
654	555	292
655	555	291
656	556	290
657	557	289
658	557	288
659	558	287
660	558	286
661	559	285
662	560	284
663	560	283
664	561	282
665	562	281
666	562	280
667	563	280
668	563	279
669	564	278
670	565	277
671	565	276
672	566	275
673	567	274
674	567	273
675	568	272
676	568	271
677	569	270
678	570	269
679	570	268
680	571	267
681	572	266
682	572	265
683	573	264
684	574	263
685	574	263
686	575	262
687	575	261
688	576	260
689	577	259
690	577	258
691	578	257
692	579	256
693	579	255
694	580	254
695	580	253
696	581	252
697	582	251
698	582	250
699	583	250
700	584	249
701	584	248
702	585	247
703	586	246
704	586	245
705	587	244
706	587	243
707	588	242
708	589	241
709	589	240
710	590	240
711	591	239
712	591	238
713	592	237
714	593	236
715	594	235
716	594	234
717	595	233
718	595	232
719	596	232
720	597	231
721	598	230
722	598	229
723	599	228
724	600	227
725	600	226
726	601	225
727	602	225
728	602	224
729	603	223
730	604	222
731	604	221
732	605	220
733	606	219
734	606	218
735	607	217
736	608	217
737	608	216
738	609	215
739	610	214
740	610	213
741	611	212
742	612	211
743	613	210
744	613	210
745	614	209
746	615	208
747	615	207
748	616	206
749	616	205
750	617	204
751	618	203
752	619	203
753	619	202
754	620	201
755	621	200
756	621	199
757	622	198
758	623	197
759	624	197
760	625	196
761	626	195
762	627	194
763	628	194
764	628	193
765	629	192
766	629	191
767	630	190
768	631	189
769	632	188
770	632	187
771	633	187
772	634	186
773	634	185
774	635	184
775	635	183
776	636	182
777	637	181
778	637	180
779	638	180
780	638	179
781	639	178
782	640	177
783	640	176
784	641	175
785	642	174
786	643	174
787	644	173
788	644	172
789	645	171
790	645	170
791	646	169
792	647	168
793	647	168
794	648	167
795	648	166
796	649	165
797	650	164
798	650	163
799	651	162
800	651	161
801	652	161
802	653	160
